ID,Projection,Own_Proj
42008091,50.398,8.83333333333333
42008227,33.598,0.6
42008259,32.451,0.5
42008307,30.082,0.166666666666666
42008349,31.827,1.6
42008648,14.817,0
42008709,0,0
42008804,11.447,0
42008857,17.534,0
42008959,4.509,0
42008985,0,0
42009021,8.656,0
42009101,5.192,0
42009211,0.65,0
42009332,0.621,0
42009375,0,0
42009401,0,0
42009538,0,0
42008151,0,0
42008333,0,0
42008571,34.836,59.9333333333333
42008593,29.15,16.0333333333333
42008602,25.626,6.2
42008608,24.513,1.3
42008654,24.863,2.53333333333333
42008831,17.641,6.66666666666666E-02
42008860,14.724,6.66666666666666E-02
42008907,20.498,1.26666666666666
42009065,17.24,0.133333333333333
42009169,8.397,0
42009248,8.768,0
42009206,6.328,0
42009397,0,0
42009410,0,0
42009512,0,0
42008102,46.108,7.56666666666666
42008188,37.456,1.43333333333333
42008254,30.935,0
42008289,32.791,2.43333333333333
42008481,24.648,0.133333333333333
42008582,20.119,0.1
42008680,17.251,0
42008758,15.862,0
42008980,11.177,0
42009044,10.203,0
42009111,1.011,0
42009180,1.091,0
42009504,0,0
42009520,0,0
42009523,0,0
42008193,44.61,36.0333333333333
42008221,40.328,20.5333333333333
42008326,36.35,27.7333333333333
42008371,0,0
42008413,0,0
42008552,0,0
42008623,23.79,0.333333333333333
42008876,14.515,3.33333333333333E-02
42008953,24.473,15.7333333333333
42008970,14.599,3.33333333333333E-02
42008976,16.563,0.4
42009072,6.884,0
42009256,19.534,2.66666666666666
42009373,0.83,0
42009312,0.693,0
42009269,0,0
42009413,0,0
42009425,0,0
42008224,0,0
42008346,30.668,2.23333333333333
42008416,30.909,2.03333333333333
42008449,0,0
42008494,25.447,0.233333333333333
42008545,0,0
42008586,28.218,9.1
42008650,21.312,0.5
42008661,17.443,0
42008807,18.962,0.3
42008912,23.102,2.8
42008929,16.919,6.66666666666666E-02
42009004,0,0
42009337,5.382,0
42009371,1.297,0
42009450,0,0
42009458,0,0
42009479,0,0
42008113,44.078,4.8
42008129,43.203,7.7
42008160,0,0
42008281,36.042,3.63333333333333
42008429,26.891,0.866666666666666
42008597,0,0
42008620,17.498,0
42008769,18.784,0.166666666666666
42008789,0,0
42008836,15.001,3.33333333333333E-02
42008897,18.044,3.33333333333333E-02
42008933,12.918,0
42009092,15.958,3.33333333333333E-02
42009221,5.491,0
42009301,6.51,0
42009488,1.45,0
42009439,0,0
42008083,63.067,36.5
42008135,43.616,12.9666666666666
42008293,0,0
42008339,0,0
42008527,20.284,6.66666666666666E-02
42008573,22.114,6.66666666666666E-02
42008576,20.731,3.33333333333333E-02
42008634,16.437,0
42008671,18.469,3.33333333333333E-02
42008698,20.018,0.266666666666666
42008814,19.045,0.233333333333333
42009017,3.806,0
42009214,2.208,0
42009369,2.109,0
42009428,0,0
42009517,0,0
42008094,49.093,9.76666666666666
42008219,0,0
42008446,26.492,0.666666666666666
42008491,25.886,1.9
42008525,33.939,14.7333333333333
42008541,0,0
42008645,19.358,0.133333333333333
42008779,0,0
42008826,12.794,0
42008854,16.498,0.266666666666666
42008915,17.375,0.133333333333333
42028075,0,0
42009039,15.179,3.33333333333333E-02
42009074,15.302,6.66666666666666E-02
42009177,6.359,0
42009419,0.566,0
42009349,0.476,0
42009446,0,0
42008116,43.593,4.16666666666666
42008138,40.398,2.93333333333333
42008157,35.724,0.233333333333333
42008311,29.927,0.133333333333333
42008368,24.715,6.66666666666666E-02
42008533,24.653,0.566666666666666
42008821,14.353,3.33333333333333E-02
42008900,14.46,0
42009035,0,0
42009097,0.729,0
42009143,0.824,0
42009237,0.732,0
42009443,0.643,0
42009252,0,0
42009347,0,0
42009526,0,0
42009529,0,0
42008146,0,0
42008256,0,0
42008321,0,0
42008459,32.14,23.8666666666666
42008499,0,0
42008564,27.799,5.56666666666666
42008793,0,0
42008888,25.479,10.4
42008902,23.36,6.13333333333333
42008948,29.675,50.7333333333333
42009000,23.767,30.8666666666666
42009024,20.031,5.16666666666666
42009105,18.798,1.3
42009305,17.307,4.8
42009232,0,0
42009473,0,0
42009535,0,0
42008097,47.218,6.5
42008242,0,0
42008381,27.743,0.566666666666666
42008468,23.886,0
42008568,21.84,6.66666666666666E-02
42008615,16.831,0
42008637,19.551,0
42008762,14.648,0
42008884,18.032,0.5
42008974,13.677,0
42008998,1.058,0
42009076,0,0
42009135,0.733,0
42009182,0.839,0
42009507,0.988,0
42009361,0,0
42009431,0,0
42008167,0,0
42008411,0,0
42008437,0,0
42008474,27.541,1
42008483,23.852,0.533333333333333
42008548,22.103,0.233333333333333
42008554,0,0
42008639,22.892,1.76666666666666
42008642,20.009,0.366666666666666
42008707,20.716,0.133333333333333
42008720,0,0
42008745,16.719,6.66666666666666E-02
42008796,17.763,3.33333333333333E-02
42008881,21.865,0.1
42008925,14.857,0
42008944,19.038,0.666666666666666
42009491,0,0
42009552,0,0
42008149,42.97,3.36666666666666
42008250,0,0
42008261,0,0
42008335,30.598,2.46666666666666
42008357,30.976,2.93333333333333
42008520,0,0
42008580,31.946,22.9666666666666
42008605,24.88,1.96666666666666
42008742,23.692,2.3
42008818,14.156,0
42008922,21.786,2.26666666666666
42008963,9.933,0
42009030,11.364,0
42009407,1.02,0
42009324,1.153,0
42009471,1.108,0
42008085,0,0
42008172,35.193,0.333333333333333
42008206,43.469,17.5
42008277,24.291,0
42008314,24.785,0
42008385,27.022,0
42008629,19.078,0.166666666666666
42008703,17.371,0
42008865,17.154,3.33333333333333E-02
42009068,5.216,0
42009094,3.481,0
42009122,0,0
42009289,0.886,0
42009273,0.868,0
42009357,0.946,0
42009416,0,0
42009532,0,0
42008107,44.388,4.39999999999999
42008179,41.923,14.2
42008355,32.637,2.03333333333333
42008399,28.243,0.6
42008404,30.147,1.96666666666666
42008424,26.781,0.1
42008463,25.993,0.5
42008683,10.755,0
42009157,2.261,0
42009284,1.27,0
42009225,0.917,0
42009500,0.89,0
42009316,0,0
42009319,0,0
42009354,0,0
42009515,0,0
42008182,40.745,9.3
42008200,37.172,3.63333333333333
42008360,31.885,4.63333333333333
42008421,0,0
42008427,29.95,1.79999999999999
42008657,25.072,3.46666666666666
42008693,21.475,1.5
42008852,19.06,0.1
42009056,12.308,0
42009127,13.902,6.66666666666666E-02
42009265,7.22,0
42009364,1.388,0
42009192,0,0
42009228,4.665,0
42009434,0,0
42009482,0,0
42009498,0,0
42008126,42.579,2.16666666666666
42008191,40.028,3.43333333333333
42008268,32.401,2.9
42008296,0,0
42008343,29.333,0.7
42008731,20.642,0.3
42008845,19.867,0.8
42008938,0.609,0
42008990,15.421,0.133333333333333
42009014,10.663,0
42009084,6.683,0
42009079,11.173,0
42009378,0.546,0
42009477,0.528,0
42009334,0,0
42009241,0,0
42009405,0.534,0
42008088,0,0
42008143,36.101,0.633333333333333
42008185,33.199,0.2
42008419,28.947,0.833333333333333
42008441,23.42,0.1
42008487,18.102,0
42008590,0,0
42008664,21.583,0.1
42008727,19.488,6.66666666666666E-02
42008724,18.841,3.33333333333333E-02
42008799,19.463,0.166666666666666
42008940,3.423,0
42009053,12.214,0
42009138,1.901,0
42009544,1.297,0
42009277,0,0
42009547,0,0
42009549,0,0
42008132,40.185,1.2
42008239,23.453,3.33333333333333E-02
42008286,34.389,3.13333333333333
42008329,32.556,3
42008378,32.043,2.93333333333333
42008627,23.208,0.166666666666666
42009008,9.724,0
42009109,16.859,3.33333333333333E-02
42009131,10.703,0
42009162,11.027,0
42009200,1.043,0
42009204,1.24,0
42009453,1.045,0
42009343,0.847,0
42009245,0,0
42009293,0,0
42009510,0,0
42008100,47.672,5.3
42008110,45.371,4.23333333333333
42008352,29.298,0.6
42008387,28.451,0.566666666666666
42008691,0,0
42008733,16.768,0.1
42008750,21.862,0.966666666666666
42008839,20.185,0.366666666666666
42028072,0,0
42008967,8.134,0
42009012,9.014,0
42009116,0.723,0
42009153,0,0
42009399,0.633,0
42009461,0.584,0
42009196,0.587,0
42009281,0,0
42009484,0.874,0
42008175,35.61,0.566666666666666
42008234,0,0
42008301,0,0
42008318,30.257,1
42008304,28.039,0.166666666666666
42008402,24.802,3.33333333333333E-02
42008455,23.269,3.33333333333333E-02
42008515,21.863,0.366666666666666
42008740,16.876,0
42008873,2.155,0
42009119,13.237,3.33333333333333E-02
42009140,12.675,0
42009174,7.124,0
42009310,1.451,0
42009259,1.371,0
42009465,1.162,0
42009262,0,0
42008123,39.401,0.533333333333333
42008216,0,0
42008266,31.309,0.133333333333333
42008364,27.638,0.566666666666666
42008375,25.29,3.33333333333333E-02
42008408,30.991,2.9
42008561,24.029,0.333333333333333
42008673,21.426,0.466666666666666
42008677,9.377,0
42008754,0,0
42008774,14.782,0
42008919,0,0
42009146,8.857,0
42009254,1.229,0
42009391,1.033,0
42009189,0.885,0
42009455,0,0
42009541,0,0
42008170,0,0
42008213,0,0
42008273,26.75,0
42008323,0,0
42008471,0,0
42008505,31.357,20.9
42008557,32.965,29.0666666666666
42008600,30.582,12.1666666666666
42008667,0,0
42008713,34.884,76.4666666666666
42008809,25.873,9.1
42008782,20.923,1.36666666666666
42008785,0,0
42009150,7.515,0
42009172,8.361,0
42009495,12.44,0.133333333333333
42008120,42.207,1.96666666666666
42008164,35.534,0.366666666666666
42008245,31.261,0.3
42008392,31.217,4.93333333333333
42008477,0,0
42008531,27.088,0.533333333333333
42008625,20.239,0
42008717,17.373,6.66666666666666E-02
42008843,7.354,0
42008892,8.878,0
42009048,15.796,0.3
42009218,0.485,0
42009394,0.54,0
42009297,0,0
42009366,0,0
42009381,0,0
42009386,0,0
42009468,0,0
42008196,32.05,3.33333333333333E-02
42008203,0,0
42008210,39.13,4.73333333333333
42008230,33.067,0.3
42008299,30.945,0.166666666666666
42008395,15.358,0
42008432,25.821,0.933333333333333
42008510,20.526,3.33333333333333E-02
42008850,13.355,0
42008869,12.248,0
42028078,0,0
42008993,7.465,0
42009027,13.502,0
42009087,0,0
42009486,1.609,0
42009422,0,0
42009437,0,0
42008154,0,0
42008248,32.702,0.566666666666666
42008283,28.519,6.66666666666666E-02
42008451,23.111,0
42008502,23.281,0
42008537,23.841,0.266666666666666
42008612,23.705,0.866666666666666
42008687,22.894,0.966666666666666
42008736,18.556,0.133333333333333
42008767,0,0
42008956,15.118,0
42009061,10.608,0
42009185,6.902,0
42009166,1.933,0
42009286,0,0
42009328,0,0
42009341,0,0
